id;created_at;lang;favourite_count;retweet_count;text;sentiment
7,1409E+17;29/03/16 17:42;en;211695;144062;Happy Easter everyone ... ;positive
7,14593E+17;29/03/16 17:42;en;186013;101710;Literally haven't left the couch all day. . Watched telly, ate Chinese food, ate an Easter egg .;neutral
7,13322E+17;29/03/16 17:51;en;157147;103016;So apparently I've got snapchat now . Add me https://t.co/sZo3Sm0ntW . don't really know how it works so give me time;neutral
7,14708E+17;29/03/16 17:51;en;52154;26573;Watching calums snapchat response @Calum5SOS it's a shame his mittens cover the microphone;negative
7,1377E+17;29/03/16 17:51;en;28673;12051;best friends snapchat like this ;irrelevant
7,14195E+17;29/03/16 17:42;en;26996;20898;Happy Easter chickenssâù_ï¸è;positive
7,14649E+17;29/03/16 17:42;en;15281;8563;"The Obamas read ""Where The Wild Things AreâÄù to kids at the White House Easter Egg Roll on Monday https://t.co/bF8K353aSJ";neutral
7,14622E+17;29/03/16 17:42;en;14467;11740;I know Easter was yesterday but ;irrelevant
7,13811E+17;29/03/16 17:42;en;10733;7615;"Absolutely disgusting. I remember when Easter Eggs said ""Easter"" on them https://t.co/5MEsl2llcE";negative
7,148E+17;29/03/16 17:42;en;6815;3522;Quit body shaming Wentworth Miller. Yes, men are victims of this too. It's a real thing. https://t.co/VZJa03W06W;negative
6,99523E+17;29/03/16 17:51;en;5855;19101;Quand ta un doctorat Snapchat https://t.co/CCIszMmomb;irrelevant
7,14552E+17;29/03/16 17:44;en;4278;2172;We are too busy dancing! #My5WordRomanceNovel https://t.co/8Gmmbp1Ngw;positive
7,14703E+17;30/03/16 03:30;en;3789;16915;Our flight MS181 is officially hijacked. we'll publish an official statement now. #Egyptair;neutral
7,04417E+17;29/03/16 17:36;en;3743;5292;Here are some pictures of Leonardo DiCaprio avoiding paparazzi to make your day better https://t.co/7XVjk2OlZr;positive
6,60488E+17;29/03/16 17:36;en;3613;1506;There's a 19 year old Swedish model who looks exactly like a 90s Leonardo DiCaprio (Image -Konrad Annerud Instagram) https://t.co/ePgJcwIBRy;irrelevant
7,04175E+17;29/03/16 17:36;en;3414;3450;Leo's full Oscar speech. https://t.co/s1nD9bUptb;neutral
7,14829E+17;29/03/16 17:33;en;3157;936;.@KylieJenner's most recent lip kit restock literally broke Google https://t.co/OSi00ipoER https://t.co/OSMjvso40Q;irrelevant
7,1449E+17;29/03/16 17:51;en;2578;2422;When I open my snapchat https://t.co/9BqI8iyXgV;neutral
7,14167E+17;29/03/16 17:37;en;2425;2796;"Reuters &amp; its policy of replacing the terms ""queen"" &amp; ""the queen"" with ""Queen Elizabeth."" https://t.co/4avXcHl081";neutral
7,14816E+17;29/03/16 17:42;en;2386;1515;Pak bomb kills 72âÄúWe have carried out this attack to target Christians who were celebrating EasterâÄùAh, nothing to do with religion, then;negative
7,14737E+17;29/03/16 17:33;en;2366;2928;"Professor Obi : "" Did Google owe up to Â£8,000,000,000 (UK Tax Arrears) ? Was PM BRIBED to CUT it to Â£130,000,000 ? "" https://t.co/eQhpA7I7rI";negative
7,14497E+17;29/03/16 17:48;en;2317;603;So excited for tomorrow's Twitter chat at 9:30amPT! Don't forget to keep tweeting me your questions with #AskShay! @SeeMothersDay;positive
7,14684E+17;29/03/16 17:51;en;2018;626;Hockey tonight with the boys ;positive
7,14841E+17;29/03/16 17:39;en;1558;498;Cutest Pic Ever. Kohli With Daughter Ziva. :)10 Million Viratians. #WT20 https://t.co/Cg1mwqwvkD;positive
7,14818E+17;29/03/16 17:42;en;1446;686;Wentworth Miller slams meme mocking his weight https://t.co/u1i8oNMX93 https://t.co/4MU83Chuql;positive
7,14771E+17;29/03/16 17:42;en;1419;1371;Easter hols r the worst bcos I'm still fat from xmas but now I'm a bit more fat from easter, the weather is shite and exams are in 5 minutes;negative